nm,Beta80
350,10133.46817
350.4,10274.51026
350.8,10188.24726
351.2,10097.96919
351.6,10005.11953
352,10379.19647
352.4,10377.97695
352.8,10017.98096
353.2,10108.04499
353.6,10119.27936
354,9922.54219
354.4,9968.504308
354.8,9990.330041
355.2,10216.47638
355.6,10307.98376
356,10138.71459
356.4,10000.58634
356.8,10430.57358
357.2,10022.04313
357.6,10419.3021
358,10077.18906
358.4,10061.76547
358.8,10169.53332
359.2,10369.7889
359.6,10343.07331
360,10457.06733
360.4,10354.9613
360.8,10580.87808
361.2,10579.47408
361.6,10479.74351
362,10686.04881
362.4,10558.54344
362.8,10587.83344
363.2,10653.70366
363.6,10677.99942
364,10790.17038
364.4,10915.63715
364.8,10985.21761
365.2,11067.2926
365.6,11174.46272
366,11101.90838
366.4,11280.9963
366.8,11423.86185
367.2,11539.8699
367.6,11567.55864
368,11714.50762
368.4,11852.0474
368.8,11942.90504
369.2,12291.27093
369.6,12371.3589
370,12472.19552
370.4,12759.07468
370.8,12973.29778
371.2,13178.93164
371.6,13298.72375
372,13491.88542
372.4,13712.76922
372.8,13900.25861
373.2,14147.35131
373.6,14283.32099
374,14562.42381
374.4,14615.57165
374.8,14822.13381
375.2,15050.01635
375.6,15199.17789
376,15541.43897
376.4,15710.86428
376.8,15894.10637
377.2,16225.48684
377.6,16408.14182
378,16623.77621
378.4,16810.69485
378.8,16993.85948
379.2,17279.93635
379.6,17540.3699
380,17651.48304
380.4,17978.07974
380.8,18195.31638
381.2,18569.57285
381.6,18771.70596
382,18995.79832
382.4,19301.24049
382.8,19490.88756
383.2,19823.0549
383.6,20053.20273
384,20389.54224
384.4,20726.13853
384.8,21049.29245
385.2,21420.31235
385.6,21754.97623
386,22025.64573
386.4,22398.25028
386.8,22705.39084
387.2,23064.54448
387.6,23438.28957
388,23823.74609
388.4,24211.25376
388.8,24592.37872
389.2,24983.75238
389.6,25368.15873
390,25797.91161
390.4,26182.92468
390.8,26651.0251
391.2,27127.90367
391.6,27446.63481
392,27932.43166
392.4,28386.40709
392.8,28839.33331
393.2,29347.16804
393.6,29814.26435
