nm,Chl_a90
350,25551.8001
350.4,25804.01926
350.8,26083.32282
351.2,26226.90314
351.6,26472.91029
352,26608.92962
352.4,26811.39104
352.8,27038.90966
353.2,27298.57006
353.6,27522.84901
354,27809.20959
354.4,28136.04404
354.8,28276.21479
355.2,28578.3404
355.6,28852.5433
356,29186.19082
356.4,29373.9129
356.8,29703.3814
357.2,29987.85384
357.6,30216.0652
358,30417.30654
358.4,30724.27271
358.8,30899.78669
359.2,31262.87004
359.6,31514.28809
360,31795.72241
360.4,32058.29388
360.8,32394.76357
361.2,32664.11288
361.6,32974.79489
362,33239.37057
362.4,33574.81051
362.8,33923.68546
363.2,34181.57682
363.6,34537.06877
364,34875.56427
364.4,35189.81901
364.8,35495.20346
365.2,35863.6093
365.6,36198.13453
366,36573.8341
366.4,36919.43209
366.8,37263.96046
367.2,37608.36851
367.6,38022.36214
368,38377.68108
368.4,38765.90587
368.8,39130.23746
369.2,39550.67688
369.6,39880.2425
370,40224.46533
370.4,40614.25923
370.8,41007.99783
371.2,41382.21406
371.6,41719.08667
372,42125.53675
372.4,42446.49353
372.8,42730.20096
373.2,43059.29604
373.6,43363.94871
374,43629.05727
374.4,43876.87199
374.8,44118.43798
375.2,44337.52947
375.6,44546.94564
376,44688.40044
376.4,44870.15904
376.8,45000.3515
377.2,45097.53663
377.6,45218.74346
378,45279.73361
378.4,45379.21696
378.8,45431.91863
379.2,45521.73777
379.6,45526.21416
380,45592.63626
380.4,45600.75869
380.8,45624.62857
381.2,45616.1945
381.6,45648.84853
382,45629.55719
382.4,45612.81165
382.8,45628.51121
383.2,45640.56237
383.6,45622.61821
384,45622.38708
384.4,45549.61982
384.8,45530.87315
385.2,45495.93948
385.6,45441.58052
386,45401.46946
386.4,45339.25543
386.8,45288.68103
387.2,45206.66688
387.6,45156.57939
388,45073.53198
388.4,45010.94233
388.8,44963.73657
389.2,44933.42491
389.6,44882.68543
390,44830.45743
390.4,44785.45333
390.8,44802.3407
391.2,44795.80858
391.6,44820.64422
392,44866.74705
392.4,44909.7922
