nm,Chl_b90
350,28301.31067
350.4,28114.06862
350.8,27946.29264
351.2,27660.12438
351.6,27631.5796
352,27486.84542
352.4,27146.31809
352.8,27136.45662
353.2,26971.78385
353.6,26871.60412
354,26802.07047
354.4,26719.79242
354.8,26696.99975
355.2,26610.06023
355.6,26597.60006
356,26636.54421
356.4,26429.93542
356.8,26464.82039
357.2,26382.37675
357.6,26402.33189
358,26293.56213
358.4,26246.85129
358.8,26083.51549
359.2,26143.79643
359.6,26073.93698
360,26051.03493
360.4,25935.63524
360.8,25829.31059
361.2,25774.78772
361.6,25804.32016
362,25630.6362
362.4,25498.26327
362.8,25409.58072
363.2,25286.47125
363.6,25136.93058
364,25059.91352
364.4,24969.23145
364.8,24724.9246
365.2,24593.53407
365.6,24392.0159
366,24269.49946
366.4,24011.6212
366.8,23877.23702
367.2,23714.36013
367.6,23532.48371
368,23403.11375
368.4,23245.30468
368.8,23090.99796
369.2,22885.20571
369.6,22776.95061
370,22521.20315
370.4,22392.63843
370.8,22302.6186
371.2,22132.02443
371.6,22054.66771
372,21986.28982
372.4,21857.2122
372.8,21778.75847
373.2,21668.80639
373.6,21610.01581
374,21548.75724
374.4,21436.0535
374.8,21383.70677
375.2,21374.6949
375.6,21267.18028
376,21158.82367
376.4,21150.18663
376.8,21049.85819
377.2,21027.78935
377.6,20941.37538
378,20868.38433
378.4,20756.53629
378.8,20681.94674
379.2,20554.33711
379.6,20452.68532
380,20328.19022
380.4,20223.84845
380.8,20022.12453
381.2,19834.84045
381.6,19731.49933
382,19509.92224
382.4,19323.51684
382.8,19075.62002
383.2,18841.2673
383.6,18560.66863
384,18273.00059
384.4,17973.37401
384.8,17663.13525
385.2,17331.82001
385.6,17033.56774
386,16717.82269
386.4,16371.99952
386.8,16055.51973
387.2,15689.05422
387.6,15378.83011
388,15049.30441
388.4,14690.00971
388.8,14391.52708
389.2,14087.24846
389.6,13783.73153
390,13491.2287
390.4,13181.52442
390.8,12960.55613
391.2,12715.15401
391.6,12510.30396
392,12291.71894
392.4,12102.74467
392.8,11924.36778
393.2,11749.05783
393.6,11611.72022
394,11515.21643
394.4,11430.92551
394.8,11351.73028
395.2,11265.39472
395.6,11222.40528
396,11201.01352
396.4,11147.117
396.8,11133.86025
397.2,11157.3686
397.6,11186.32439
398,11223.82461
398.4,11255.82488
398.8,11361.30979
399.2,11437.79926
399.6,11512.39257
400,11622.79302
400.4,11675.79529
400.8,11788.03587
401.2,11910.65419
401.6,12015.64785
402,12140.67305
