nm,Lute80
350,8101.766556
350.4,8088.433093
350.8,8123.34666
351.2,8214.464613
351.6,8122.540993
352,8299.77164
352.4,8244.364752
352.8,8263.4368
353.2,8322.324884
353.6,8303.77462
354,8341.450656
354.4,8463.956076
354.8,8498.212526
355.2,8662.935448
355.6,8813.444275
356,8807.161957
356.4,8768.351507
356.8,9083.709792
357.2,9031.938345
357.6,9354.249851
358,9216.628894
358.4,9286.740551
358.8,9483.586881
359.2,9684.022816
359.6,9776.725499
360,9944.530789
360.4,10043.42888
360.8,10342.04078
361.2,10439.56395
361.6,10534.34808
362,10748.5937
362.4,10931.59641
362.8,11075.28922
363.2,11241.65483
363.6,11495.7302
364,11675.3352
364.4,11912.49354
364.8,12137.90624
365.2,12368.1478
365.6,12642.94617
366,12833.35919
366.4,13128.14476
366.8,13439.71287
367.2,13660.94012
367.6,13922.32578
368,14231.2118
368.4,14515.9072
368.8,14846.94941
369.2,15198.14478
369.6,15437.2549
370,15734.913
370.4,16114.80858
370.8,16488.23539
371.2,16804.29017
371.6,17195.10655
372,17546.81433
372.4,17891.33724
372.8,18216.15252
373.2,18561.84217
373.6,18901.01212
374,19267.26518
374.4,19517.82313
374.8,19854.84725
375.2,20216.89537
375.6,20525.972
376,20889.05941
376.4,21221.02553
376.8,21500.50329
377.2,21847.93672
377.6,22167.57676
378,22502.78429
378.4,22810.70126
378.8,23079.23762
379.2,23456.2845
379.6,23814.4593
380,24108.23016
380.4,24536.2656
380.8,24853.00023
381.2,25301.0744
381.6,25687.07454
382,26046.83859
382.4,26484.74605
382.8,26888.66414
383.2,27367.57667
383.6,27798.78785
384,28306.39047
384.4,28805.29236
384.8,29318.22038
385.2,29903.89565
385.6,30485.1096
386,31049.11302
386.4,31654.78286
386.8,32224.27937
387.2,32867.66448
387.6,33516.66092
388,34226.84492
388.4,34891.95112
388.8,35617.19816
389.2,36285.18785
389.6,37013.91458
390,37718.3343
390.4,38473.35837
390.8,39216.19902
391.2,39952.39517
391.6,40659.75651
392,41410.01816
392.4,42152.36953
392.8,42884.82571
393.2,43625.78025
393.6,44340.6674
394,45064.48464
394.4,45772.56196
394.8,46438.83656
395.2,47103.35795
395.6,47762.29021
396,48359.04223
396.4,48970.14848
396.8,49502.03833
397.2,50082.92329
397.6,50654.10687
398,51171.10641
398.4,51699.949
398.8,52243.64856
399.2,52704.40884
399.6,53213.24609
400,53725.72188
400.4,54165.38677
400.8,54615.87988
401.2,55100.05265
401.6,55593.58741
402,56082.742
402.4,56558.66782
402.8,57026.58124
403.2,57560.78599
403.6,58068.00605
404,58649.0755
404.4,59233.08
404.8,59776.36556
405.2,60443.93386
405.6,61131.15475
406,61811.23432
406.4,62520.5589
406.8,63354.73815
407.2,64148.83201
407.6,65014.34994
408,65934.44002
408.4,66831.82626
408.8,67840.54501
409.2,68880.90899
409.6,69918.46733
410,71015.47161
410.4,72176.25186
410.8,73367.70507
411.2,74521.37594
411.6,75785.58574
412,77046.59913
412.4,78342.89271
412.8,79654.99255
413.2,80917.06465
413.6,82277.88701
414,83582.53745
414.4,84946.54066
414.8,86221.87785
415.2,87563.28014
415.6,88922.87632
416,90224.72024
416.4,91449.7914
416.8,92699.0487
417.2,93907.96391
417.6,95067.3905
418,96179.4916
418.4,97189.68666
418.8,98247.86605
419.2,99189.11123
419.6,100083.9211
420,100931.7555
420.4,101745.4368
420.8,102434.1786
421.2,103135.6805
421.6,103700.1557
422,104255.016
422.4,104725.3042
422.8,105193.5477
423.2,105537.9456
423.6,105773.9682
424,106109.6311
424.4,106280.3461
424.8,106465.9338
425.2,106587.6702
425.6,106644.1747
426,106745.3727
426.4,106770.892
426.8,106786.7989
427.2,106751.3189
427.6,106852.0789
428,106804.1423
428.4,106812.7316
428.8,106846.7731
429.2,106940.3283
429.6,107074.4531
430,107218.1231
430.4,107372.2149
430.8,107617.2242
431.2,107963.7548
431.6,108356.7794
432,108775.7187
432.4,109258.4931
432.8,109892.7786
433.2,110583.5985
433.6,111323.5288
434,112166.3196
434.4,113118.2521
434.8,114110.7928
435.2,115251.2385
435.6,116387.6962
436,117627.6305
436.4,118963.7998
436.8,120352.3431
437.2,121796.1488
437.6,123289.5532
438,124894.7036
438.4,126465.5215
438.8,128038.9049
439.2,129734.9709
439.6,131434.9692
440,133128.9821
440.4,134777.162
440.8,136460.7355
441.2,138120.5876
441.6,139799.5378
442,141394.4519
442.4,142989.2932
442.8,144497.4785
443.2,145961.5309
443.6,147353.4739
444,148670.8289
444.4,149940.3593
444.8,151104.5672
445.2,152191.9414
445.6,153117.7238
446,154003.5876
446.4,154738.8189
446.8,155427.7164
447.2,155940.3583
447.6,156404.5221
448,156668.5944
448.4,156886.8472
448.8,156929.4843
449.2,156867.6668
449.6,156684.0827
450,156361.7012
450.4,155895.4869
450.8,155392.1499
451.2,154751.4656
451.6,153967.9843
452,153113.9705
452.4,152154.9759
452.8,151045.3573
453.2,149909.5261
453.6,148672.3044
454,147341.2062
454.4,145994.9955
454.8,144538.4129
455.2,143040.8896
455.6,141516.6054
456,139934.663
456.4,138362.167
456.8,136745.7652
457.2,135139.5377
457.6,133544.7276
458,131955.1786
458.4,130356.4986
458.8,128866.8972
459.2,127362.4137
459.6,125927.1714
460,124571.0872
460.4,123286.7833
460.8,122094.7425
461.2,120970.2314
461.6,119906.9449
462,118980.433
462.4,118176.3706
462.8,117486.7588
463.2,116928.0424
463.6,116448.9964
464,116135.2599
464.4,115964.0302
464.8,115901.0218
465.2,115963.9371
465.6,116162.0976
466,116510.2168
466.4,116932.3399
466.8,117542.8138
467.2,118196.5596
467.6,118990.8026
468,119903.2959
468.4,120921.0141
468.8,121990.3531
469.2,123129.3798
469.6,124365.3056
470,125599.7042
470.4,126900.4637
470.8,128170.6643
471.2,129533.677
471.6,130810.3271
472,132122.407
472.4,133354.081
472.8,134625.4344
473.2,135803.7939
473.6,136913.8617
474,137901.7804
474.4,138868.1584
474.8,139720.6167
475.2,140431.1626
475.6,141025.8556
476,141544.3714
476.4,141863.0117
476.8,142060.4279
477.2,142137.2411
477.6,142056.8298
478,141825.09
478.4,141450.5959
478.8,140875.3327
479.2,140236.4669
479.6,139374.1043
480,138355.5792
480.4,137221.9519
480.8,135899.1431
481.2,134479.8761
481.6,132937.7499
482,131241.5194
482.4,129412.8429
482.8,127443.8504
483.2,125437.9224
483.6,123306.5788
484,121028.6071
484.4,118659.391
484.8,116256.8219
485.2,113756.8654
485.6,111206.5297
486,108583.1892
486.4,105944.7566
486.8,103206.0998
487.2,100509.2836
487.6,97729.20726
488,94916.64085
488.4,92143.50995
488.8,89367.59216
489.2,86557.93838
489.6,83757.69059
490,81011.93456
490.4,78241.72331
490.8,75495.79844
491.2,72793.93004
491.6,70099.47493
492,67505.0502
492.4,64902.34199
492.8,62348.28247
493.2,59857.86418
493.6,57453.34346
494,55068.03707
494.4,52737.22078
494.8,50466.90793
495.2,48320.00124
495.6,46150.85475
496,44093.69575
496.4,42106.08186
496.8,40186.39593
497.2,38334.2852
497.6,36523.14169
498,34802.51708
498.4,33129.88502
498.8,31545.83155
499.2,30012.10477
499.6,28557.99255
500,27116.18075
500.4,25808.18167
500.8,24486.55955
501.2,23272.81233
501.6,22137.60258
502,21006.47874
502.4,19921.74198
502.8,18928.6582
503.2,17987.46639
503.6,17078.49432
504,16215.20517
504.4,15402.94803
504.8,14626.00161
505.2,13878.62755
505.6,13175.97133
506,12553.2189
506.4,11941.79144
506.8,11342.42525
507.2,10780.82676
507.6,10243.57968
508,9800.237649
508.4,9307.587524
508.8,8830.077002
509.2,8437.975465
509.6,8063.437854
510,7665.527339
510.4,7326.276864
510.8,7017.92395
511.2,6689.567994
511.6,6398.614615
512,6097.901231
512.4,5843.608726
512.8,5606.740411
513.2,5368.249967
513.6,5125.94132
514,4921.641207
514.4,4750.7982
514.8,4569.278504
515.2,4375.339043
515.6,4194.558758
516,4044.906679
516.4,3912.043594
516.8,3742.758718
517.2,3623.666183
517.6,3463.690159
518,3366.706069
518.4,3264.715056
518.8,3129.70684
519.2,3018.560808
519.6,2924.978875
520,2826.90281
520.4,2719.090735
520.8,2623.005062
521.2,2547.568602
521.6,2481.913988
522,2387.288868
522.4,2327.994396
522.8,2277.898035
523.2,2192.921105
523.6,2145.792937
524,2095.00443
524.4,1999.522528
524.8,1948.304569
525.2,1890.228891
525.6,1837.305982
526,1818.71842
526.4,1729.698578
526.8,1701.785635
527.2,1646.246199
527.6,1584.3785
528,1549.850046
528.4,1509.227865
528.8,1475.4009
529.2,1434.876298
529.6,1390.212283
530,1360.049998
530.4,1330.469782
530.8,1271.140757
531.2,1251.984218
531.6,1233.291611
532,1187.339143
532.4,1152.139412
532.8,1121.270603
533.2,1065.128923
533.6,1082.730004
534,1031.204762
534.4,990.5630989
534.8,984.8918081
535.2,977.7588534
535.6,925.0731198
536,904.8127282
536.4,868.4219829
536.8,854.6110798
537.2,840.5922418
537.6,799.2742672
538,800.8828539
538.4,791.8686478
538.8,767.4249163
539.2,741.8686504
539.6,689.7335585
540,712.4577203
540.4,667.5764627
540.8,655.053319
541.2,657.4806276
541.6,649.616633
542,621.6456972
542.4,608.0468635
542.8,611.0174872
543.2,589.7722125
543.6,557.2071354
544,542.0005478
544.4,535.9564436
544.8,530.7778022
545.2,515.7342508
545.6,512.4345687
546,497.7652182
546.4,482.6093293
546.8,459.2313912
547.2,446.3469291
547.6,450.7544222
548,427.4256563
548.4,438.5646775
548.8,399.4563189
549.2,385.8435591
549.6,385.5945782
550,3.85E+02
550.4,348.1720699
550.8,362.5533029
551.2,355.2788426
551.6,319.1790958
552,329.453037
552.4,347.4385989
552.8,334.0948239
553.2,321.0104813
553.6,304.6603149
554,298.6254135
554.4,308.2779432
554.8,296.188902
555.2,278.6057045
555.6,294.7464765
556,274.5548063
556.4,292.2687802
556.8,255.2586718
557.2,262.2476897
557.6,268.7283276
558,260.6232675
558.4,241.8006499
558.8,227.0535141
559.2,231.496947
559.6,246.9443562
560,225.9619885
560.4,212.9918928
560.8,207.5928839
561.2,212.6109201
561.6,210.1051323
562,207.8566236
562.4,193.8929638
562.8,167.4926267
563.2,193.2494669
563.6,221.8336879
564,192.8117177
564.4,195.7469565
564.8,182.2750084
565.2,181.1041709
565.6,172.3313413
566,153.6300532
566.4,168.75139
566.8,157.4989546
567.2,178.1182335
567.6,135.3990182
568,166.6793219
568.4,159.6428691
568.8,155.2711437
569.2,142.5592317
569.6,163.6779317
570,139.1624927
570.4,144.934626
570.8,129.9230567
571.2,140.4899776
571.6,141.7207165
572,119.2078585
572.4,135.1437156
572.8,117.2733383
573.2,121.6808314
573.6,121.6042616
574,137.2522452
574.4,124.8919988
574.8,124.2314508
575.2,126.2139276
575.6,138.1345154
576,140.1364025
576.4,128.8886905
576.8,102.4237285
577.2,119.6937032
577.6,131.7092995
578,134.3599287
578.4,116.8663225
578.8,114.0111613
579.2,100.7908691
579.6,129.8482242
580,96.29513912
580.4,73.31484198
580.8,85.65894187
581.2,57.88979608
581.6,74.83953234
582,97.23692791
582.4,123.584518
582.8,111.0047367
583.2,106.0711186
583.6,114.2876116
584,109.4480643
584.4,82.98661011
584.8,95.72661363
585.2,55.32684892
585.6,40.83546563
586,52.36344679
586.4,40.99402238
586.8,41.82902975
587.2,50.91341685
587.6,38.87872107
588,19.2611325
588.4,33.55385078
588.8,40.93412088
589.2,17.17034779
589.6,29.83513603
590,8.88732051
590.4,20.59813112
590.8,29.68807431
591.2,14.97549067
591.6,17.13037847
592,-6.748335324
592.4,16.32832485
592.8,-3.719025709
593.2,32.48767455
593.6,30.28278188
594,15.66777685
594.4,13.04218607
594.8,20.78446835
595.2,15.64121193
595.6,-10.57955963
596,2.62840476
596.4,-4.77179752
596.8,10.72752595
597.2,-5.109536995
597.6,17.1312112
598,4.971678101
598.4,-4.233344732
598.8,8.065090807
599.2,-10.88326872
599.6,-10.58306742
600,0
600.4,-14.06748836
600.8,-3.571963996
601.2,0.510672301
601.6,12.40073751
602,-2.525963856
602.4,9.496786992
602.8,22.88310137
603.2,-11.96763977
603.6,8.771996966
604,12.71396038
604.4,9.288608206
604.8,6.873244528
605.2,1.562611379
605.6,21.88915442
606,13.73811897
606.4,12.07601961
606.8,16.82163506
607.2,15.90724391
607.6,30.76268767
608,16.31492044
608.4,14.50888431
608.8,38.05853968
609.2,18.19943573
609.6,32.75901872
610,18.01660628
610.4,45.48204299
610.8,27.0209158
611.2,38.75433364
611.6,42.44366949
612,37.35271016
612.4,58.35525392
612.8,27.71480039
613.2,47.76419926
613.6,36.73539536
614,40.20231528
614.4,42.9746568
614.8,33.44613164
615.2,34.69704668
615.6,32.3291178
616,72.10951941
616.4,48.72807351
616.8,45.96371923
617.2,62.35034716
617.6,72.34426311
618,93.30669861
618.4,94.43673402
618.8,91.35321793
619.2,82.44527145
619.6,94.09343845
620,75.84087289
620.4,71.55127338
620.8,60.64418186
621.2,94.77461242
621.6,75.42343867
622,57.41200564
622.4,63.8228454
622.8,62.55731037
623.2,95.01842001
623.6,83.83265778
624,65.04056279
624.4,93.29437084
624.8,65.28315481
625.2,89.888568
625.6,71.60280479
626,87.19727573
626.4,75.17803267
626.8,52.34965954
627.2,65.01361504
627.6,64.73008204
628,59.2711716
628.4,55.70316528
628.8,63.02596504
629.2,37.03004056
629.6,27.13707208
630,50.30332361
630.4,50.59241272
630.8,61.49273256
631.2,63.35745462
631.6,43.49675226
632,68.85838269
632.4,47.37690479
632.8,74.17731404
633.2,50.23991432
633.6,68.17561029
634,47.87441659
634.4,62.24210625
634.8,74.47775925
635.2,102.267531
635.6,72.35933299
636,79.63973227
636.4,81.19831408
636.8,88.0532919
637.2,74.96863831
637.6,80.63329638
638,92.79022631
638.4,95.49537289
638.8,97.85340514
639.2,100.5804652
639.6,108.3857739
640,124.3834419
640.4,129.7880069
640.8,141.0682228
641.2,121.8173698
641.6,128.1901496
642,117.9019713
642.4,132.1745135
642.8,139.325596
643.2,143.3892718
643.6,160.3289725
644,150.9567118
644.4,158.7259419
644.8,173.3739007
645.2,167.0313325
645.6,171.563524
646,181.3228352
646.4,207.0428311
646.8,214.6133961
647.2,211.7372261
647.6,199.3083971
648,227.9216141
648.4,212.4064551
648.8,241.3483477
649.2,274.0336107
649.6,262.3323138
650,305.8786211
650.4,308.3582268
650.8,308.3625673
651.2,330.3448209
651.6,319.8445731
652,368.4441626
652.4,366.5084269
652.8,363.2611808
653.2,392.8870614
653.6,418.0134263
654,404.9462737
654.4,443.7667588
654.8,452.9316734
655.2,467.7251673
655.6,485.7971956
656,493.8765236
656.4,495.620366
656.8,518.7944659
657.2,557.0511488
657.6,551.5125436
658,579.5595274
658.4,578.2882973
658.8,612.5067927
659.2,614.8686437
659.6,611.126178
660,632.5275783
660.4,637.2573582
660.8,634.2682958
661.2,653.0468474
661.6,657.6473105
662,647.459453
662.4,667.9766738
662.8,670.6736611
663.2,675.1341451
663.6,669.2374854
664,671.1101947
664.4,662.2881929
664.8,655.1720454
665.2,662.4714052
665.6,647.3120084
666,642.6388661
666.4,602.9782675
666.8,600.2698571
667.2,575.3784797
667.6,541.3938953
668,532.4519184
668.4,502.5603887
668.8,493.2626495
669.2,438.0329293
669.6,430.7049563
670,410.7607405
670.4,390.6034835
670.8,384.5328144
671.2,357.1062704
671.6,358.5566832
672,329.2147184
672.4,291.9729913
672.8,286.9534955
673.2,224.9933239
673.6,205.6112447
674,208.4734885
674.4,176.625736
674.8,168.9405412
675.2,163.2810564
675.6,124.7329922
676,113.789822
676.4,117.8240518
676.8,66.84014304
677.2,46.63097185
677.6,55.05154707
678,41.60411562
678.4,23.91305997
678.8,10.072467
679.2,7.13747211
679.6,-8.329591422
680,-21.19328857
680.4,-19.74735524
680.8,-42.21645831
681.2,-46.72260669
681.6,-63.35113284
682,-72.05850494
682.4,-49.62738994
682.8,-87.4121543
683.2,-102.9201588
683.6,-140.7240226
684,-104.1745817
684.4,-98.70469796
684.8,-115.1589368
685.2,-95.91582707
685.6,-135.5564935
686,-99.625339
686.4,-146.7557991
686.8,-104.9498265
687.2,-133.7306641
687.6,-102.9304383
688,-133.7957389
688.4,-145.0061567
688.8,-146.165432
689.2,-167.9697855
689.6,-125.640224
690,-130.3343751
690.4,-180.4564677
690.8,-127.499146
691.2,-127.6175945
691.6,-146.4508744
692,-155.1007762
692.4,-149.4171576
692.8,-116.3719308
693.2,-157.1252705
693.6,-176.6874371
694,-143.4118071
694.4,-138.1400666
694.8,-174.1965802
695.2,-138.4437757
695.6,-129.1524254
696,-135.8023494
696.4,-162.6119615
696.8,-178.1996607
697.2,-160.929686
697.6,-165.7260001
698,-163.3343203
698.4,-168.7761796
698.8,-169.7305401
699.2,-168.4938622
699.6,-159.3480471
700,-162.8411491
700.4,-137.2915159
700.8,-161.3308348
701.2,-143.5803994
701.6,-163.9093736
702,-146.9771384
702.4,-125.3290494
702.8,-151.3824443
703.2,-143.7710772
703.6,-140.6408201
704,-140.988839
704.4,-125.5705648
704.8,-140.7775353
705.2,-112.770138
705.6,-150.105797
706,-161.508491
706.4,-144.9141342
706.8,-169.2583777
707.2,-146.3645469
707.6,-149.869144
708,-145.1727007
708.4,-122.7541573
708.8,-156.9146606
709.2,-130.7514983
709.6,-136.0370931
710,-106.3263445
710.4,-119.1687889
710.8,-156.0064863
711.2,-125.833089
711.6,-115.5867894
712,-138.3764088
712.4,-125.8675022
712.8,-110.9844169
713.2,-98.80675602
713.6,-108.8604345
714,-111.5327663
714.4,-102.7322951
714.8,-94.53354694
715.2,-128.428851
715.6,-112.4101741
716,-96.35114516
716.4,-98.87315133
716.8,-115.2355066
717.2,-94.18309686
717.6,-120.0477952
718,-111.4086228
718.4,-58.56023588
718.8,-72.52823625
719.2,-72.21067286
719.6,-87.57786557
720,-76.33615952
720.4,-69.97449191
720.8,-82.12221901
721.2,-36.79171719
721.6,-102.1343236
722,-94.95584346
722.4,-86.86227836
722.8,-97.50486443
723.2,-50.65977969
723.6,-106.4985835
724,-60.8468716
724.4,-88.94195087
724.8,-71.14258726
725.2,-64.98545171
725.6,-69.77947362
726,-63.79238986
726.4,-61.49630741
726.8,-73.06599524
727.2,-50.75332873
727.6,-38.75440069
728,-40.04459126
728.4,-45.51773884
728.8,-41.68165224
729.2,-24.61398926
729.6,-33.72129456
730,-56.72694103
730.4,-40.26228383
730.8,-17.86839605
731.2,-2.278404567
731.6,5.724736434
732,-24.26583139
732.4,-3.920327846
732.8,16.15129541
733.2,-29.32223856
733.6,-21.31513988
734,-15.48432065
734.4,-13.7532559
734.8,-37.81504305
735.2,10.97196029
735.6,-26.76293812
736,6.685102893
736.4,-21.61329287
736.8,-19.03923351
737.2,-40.32447754
737.6,-14.49120643
738,4.266858176
738.4,7.054963379
738.8,17.39894657
739.2,2.979792556
739.6,-13.8432301
740,-1.369708452
740.4,28.11619307
740.8,-5.523741283
741.2,6.193008261
741.6,10.09889298
742,19.9140761
742.4,11.10304752
742.8,-3.113411931
743.2,-5.211212217
743.6,2.41355928
744,-23.62629221
744.4,-2.115507294
744.8,23.80124422
745.2,23.77415753
745.6,43.13842473
746,-4.821869449
746.4,-1.017592901
746.8,44.76017193
747.2,31.72948089
747.6,26.14725967
748,13.05315934
748.4,50.54935637
748.8,7.589075644
749.2,37.83456326
749.6,-21.14790208
750,42.09165891
