nm,Neo80
350,24659
350.4,24720
350.8,24981
351.2,25099
351.6,25178
352,25623
352.4,25702
352.8,25704
353.2,25970
353.6,26030
354,26013
354.4,26524
354.8,26781
355.2,27055
355.6,27372
356,27630
356.4,27655
356.8,28094
357.2,28138
357.6,28714
358,28581
358.4,28777
358.8,29229
359.2,29516
359.6,29715
360,30065
360.4,30233
360.8,30604
361.2,30893
361.6,31079
362,31449
362.4,31695
362.8,31953
363.2,32073
363.6,32526
364,32793
364.4,33021
364.8,33377
365.2,33631
365.6,33933
366,34193
366.4,34496
366.8,34899
367.2,35151
367.6,35428
368,35821
368.4,36137
368.8,36535
369.2,36911
369.6,37210
370,37467
370.4,38058
370.8,38470
371.2,38787
371.6,39216
372,39566
372.4,40002
372.8,40310
373.2,40748
373.6,41072
374,41511
374.4,41711
374.8,42099
375.2,42476
375.6,42775
376,43170
376.4,43511
376.8,43835
377.2,44209
377.6,44512
378,44847
378.4,45195
378.8,45537
379.2,45893
379.6,46285
380,46670
380.4,47097
380.8,47426
381.2,47914
381.6,48330
382,48722
382.4,49194
382.8,49678
383.2,50130
383.6,50692
384,51234
384.4,51765
384.8,52289
385.2,52848
385.6,53382
386,53950
386.4,54524
386.8,55084
387.2,55644
387.6,56273
388,56904
388.4,57444
388.8,58117
389.2,58715
389.6,59323
390,59917
390.4,60552
390.8,61129
391.2,61743
391.6,62293
392,62934
392.4,63504
392.8,64110
393.2,64695
393.6,65251
394,65836
394.4,66359
394.8,66819
395.2,67372
395.6,67898
396,68371
396.4,68870
396.8,69282
397.2,69765
397.6,70254
398,70711
398.4,71181
398.8,71619
399.2,72072
399.6,72644
400,73145
400.4,73654
400.8,74227
401.2,74803
401.6,75401
402,76053
402.4,76759
402.8,77413
403.2,78175
403.6,78916
404,79751
404.4,80606
404.8,81429
405.2,82323
405.6,83254
406,84170
406.4,85052
406.8,86045
407.2,86970
407.6,87920
408,88946
408.4,89847
408.8,90763
409.2,91725
409.6,92587
410,93407
410.4,94269
410.8,95103
411.2,95808
411.6,96666
412,97328
412.4,97955
412.8,98572
413.2,99029
413.6,99489
414,99926
414.4,100277
414.8,100534
415.2,100821
415.6,101020
416,101113
416.4,101180
416.8,101234
417.2,101230
417.6,101172
418,101115
418.4,100931
418.8,100846
419.2,100622
419.6,100431
420,100232
420.4,100040
420.8,99788
421.2,99576
421.6,99392
422,99169
422.4,98993
422.8,98866
423.2,98749
423.6,98603
424,98644
424.4,98639
424.8,98737
425.2,98901
425.6,99083
426,99405
426.4,99811
426.8,100284
427.2,100848
427.6,101634
428,102383
428.4,103289
428.8,104309
429.2,105428
429.6,106651
430,107930
430.4,109270
430.8,110742
431.2,112290
431.6,113873
432,115490
432.4,117077
432.8,118772
433.2,120406
433.6,121984
434,123581
434.4,125152
434.8,126581
435.2,127992
435.6,129241
436,130416
436.4,131529
436.8,132448
437.2,133319
437.6,133947
438,134557
438.4,134971
438.8,135175
439.2,135288
439.6,135282
440,135125
440.4,134824
440.8,134394
441.2,133796
441.6,133093
442,132255
442.4,131293
442.8,130224
443.2,128982
443.6,127745
444,126284
444.4,124842
444.8,123228
445.2,121601
445.6,119880
446,118153
446.4,116271
446.8,114492
447.2,112574
447.6,110689
448,108801
448.4,106850
448.8,104953
449.2,103122
449.6,101242
450,99426
450.4,97648
450.8,95948
451.2,94274
451.6,92717
452,91211
452.4,89841
452.8,88546
453.2,87427
453.6,86358
454,85418
454.4,84631
454.8,83977
455.2,83461
455.6,83105
456,82902
456.4,82850
456.8,83004
457.2,83305
457.6,83778
458,84442
458.4,85213
458.8,86225
459.2,87318
459.6,88625
460,90045
460.4,91625
460.8,93341
461.2,95136
461.6,97023
462,99006
462.4,100995
462.8,103084
463.2,105113
463.6,107085
464,109082
464.4,110998
464.8,112824
465.2,114465
465.6,116025
466,117407
466.4,118577
466.8,119545
467.2,120252
467.6,120682
468,120946
468.4,120881
468.8,120584
469.2,120014
469.6,119128
470,118001
470.4,116641
470.8,115008
471.2,113183
471.6,111115
472,108832
472.4,106374
472.8,103753
473.2,101020
473.6,98077
474,95061
474.4,92021
474.8,88911
