nm,Viola80
350,8826
350.4,9047
350.8,8978
351.2,9147
351.6,9290
352,9389
352.4,9549
352.8,9369
353.2,9636
353.6,9965
354,9957
354.4,10164
354.8,10249
355.2,10552
355.6,10645
356,10615
356.4,10779
356.8,11150
357.2,11201
357.6,11495
358,11259
358.4,11508
358.8,11647
359.2,11855
359.6,12196
360,12407
360.4,12536
360.8,12979
361.2,13024
361.6,13238
362,13541
362.4,13800
362.8,14040
363.2,14312
363.6,14614
364,14938
364.4,15232
364.8,15513
365.2,15854
365.6,16207
366,16516
366.4,16875
366.8,17381
367.2,17562
367.6,17841
368,18249
368.4,18506
368.8,18961
369.2,19321
369.6,19628
370,19993
370.4,20327
370.8,20790
371.2,21072
371.6,21397
372,21690
372.4,21991
372.8,22381
373.2,22698
373.6,22918
374,23283
374.4,23497
374.8,23727
375.2,23963
375.6,24253
376,24479
376.4,24810
376.8,25054
377.2,25342
377.6,25634
378,25956
378.4,26220
378.8,26483
379.2,26846
379.6,27299
380,27626
380.4,28055
380.8,28498
381.2,29022
381.6,29537
382,30067
382.4,30624
382.8,31273
383.2,31866
383.6,32489
384,33216
384.4,33886
384.8,34636
385.2,35411
385.6,36184
386,36944
386.4,37813
386.8,38576
387.2,39424
387.6,40295
388,41123
388.4,41952
388.8,42804
389.2,43603
389.6,44423
390,45206
390.4,45979
390.8,46703
391.2,47409
391.6,48032
392,48738
392.4,49358
392.8,49965
393.2,50461
393.6,51001
394,51470
394.4,51897
394.8,52283
395.2,52620
395.6,52989
396,53250
396.4,53530
396.8,53682
397.2,53916
397.6,54131
398,54334
398.4,54586
398.8,54800
399.2,55020
399.6,55277
400,55585
400.4,55863
400.8,56187
401.2,56606
401.6,57014
402,57550
402.4,58128
402.8,58729
403.2,59411
403.6,60170
404,61065
404.4,62018
404.8,62989
405.2,64050
405.6,65237
406,66450
406.4,67691
406.8,69089
407.2,70466
407.6,71891
408,73409
408.4,74879
408.8,76411
409.2,77966
409.6,79552
410,81097
410.4,82662
410.8,84210
411.2,85707
411.6,87291
412,88782
412.4,90243
412.8,91654
413.2,92963
413.6,94251
414,95486
414.4,96676
414.8,97705
415.2,98734
415.6,99726
416,100566
416.4,101286
416.8,101927
417.2,102434
417.6,102838
418,103165
418.4,103347
418.8,103469
419.2,103424
419.6,103375
420,103207
420.4,102927
420.8,102547
421.2,102185
421.6,101660
422,101139
422.4,100542
422.8,100003
423.2,99362
423.6,98700
424,98149
424.4,97499
424.8,96939
425.2,96427
425.6,95949
426,95573
426.4,95279
426.8,95061
427.2,94898
427.6,94933
428,95074
428.4,95350
428.8,95751
429.2,96344
429.6,97133
430,98019
430.4,99076
430.8,100312
431.2,101776
431.6,103405
432,105163
432.4,107018
432.8,109124
433.2,111324
433.6,113617
434,116021
434.4,118508
434.8,121069
435.2,123708
435.6,126224
436,128798
436.4,131375
436.8,133820
437.2,136254
437.6,138548
438,140759
438.4,142793
438.8,144706
439.2,146434
439.6,148024
440,149458
440.4,150672
440.8,151741
441.2,152583
441.6,153284
442,153782
442.4,154118
442.8,154265
443.2,154297
443.6,154125
444,153841
444.4,153360
444.8,152749
445.2,151985
445.6,151072
446,150083
446.4,148858
446.8,147595
447.2,146177
447.6,144644
448,142967
448.4,141117
448.8,139296
449.2,137312
449.6,135217
450,133074
450.4,130829
450.8,128539
451.2,126149
451.6,123765
452,121354
452.4,118928
452.8,116499
453.2,114072
453.6,111689
454,109323
454.4,107061
454.8,104876
455.2,102737
455.6,100724
456,98805
456.4,97018
456.8,95403
457.2,93961
457.6,92675
458,91557
458.4,90604
458.8,89899
459.2,89396
459.6,89112
460,89026
460.4,89238
460.8,89631
461.2,90291
461.6,91169
462,92330
462.4,93670
462.8,95258
463.2,97058
463.6,99053
464,101318
464.4,103750
464.8,106387
465.2,109175
465.6,112071
466,115082
466.4,118138
466.8,121254
467.2,124365
467.6,127490
468,130549
468.4,133517
468.8,136334
469.2,139010
469.6,141452
470,143659
470.4,145562
470.8,147244
471.2,148556
471.6,149484
472,150103
472.4,150306
472.8,150212
473.2,149671
473.6,148728
474,147384
474.4,145752
474.8,143782
475.2,141469
475.6,138791
476,135886
476.4,132714
476.8,129261
477.2,125669
477.6,121890
478,117932
478.4,113897
478.8,109772
479.2,105568
479.6,101306
480,97027
480.4,92829
480.8,88577
481.2,84437
481.6,80350
482,76371
482.4,72421
482.8,68631
483.2,64963
483.6,61437
484,58003
484.4,54693
484.8,51551
485.2,48532
485.6,45671
486,42949
486.4,40341
486.8,37918
487.2,35630
487.6,33430
488,31357
488.4,29451
488.8,27651
489.2,25963
489.6,24351
490,22883
490.4,21481
490.8,20164
491.2,18959
491.6,17820
492,16761
492.4,15792
492.8,14857
493.2,14019
493.6,13238
494,12543
494.4,11863
494.8,11182
495.2,10618
495.6,10043
496,9526
496.4,9067
496.8,8621
497.2,8196
497.6,7812
498,7471
498.4,7098
498.8,6827
499.2,6518
499.6,6270
500,5930
500.4,5753
500.8,5507
501.2,5309
501.6,5115
502,4911
502.4,4724
502.8,4561
503.2,4412
503.6,4268
504,4130
504.4,3983
504.8,3857
505.2,3730
505.6,3605
506,3506
506.4,3423
506.8,3313
507.2,3196
507.6,3108
508,3045
508.4,2931
508.8,2855
509.2,2817
509.6,2758
510,2649
510.4,2586
510.8,2530
511.2,2479
511.6,2416
512,2346
512.4,2284
512.8,2258
513.2,2202
513.6,2156
514,2095
514.4,2056
514.8,2010
515.2,1964
515.6,1900
516,1859
516.4,1856
516.8,1802
517.2,1757
517.6,1725
518,1695
518.4,1689
518.8,1623
519.2,1600
519.6,1584
520,1557
520.4,1534
520.8,1486
521.2,1437
521.6,1474
522,1398
522.4,1362
522.8,1348
523.2,1312
523.6,1312
524,1276
524.4,1199
524.8,1194
525.2,1193
525.6,1153
526,1187
526.4,1153
526.8,1142
527.2,1110
527.6,1057
528,1045
528.4,1044
528.8,1004
529.2,979
529.6,942
530,936
530.4,974
530.8,955
531.2,903
531.6,921
532,876
532.4,863
532.8,833
533.2,803
533.6,805
534,789
534.4,798
534.8,774
535.2,763
535.6,724
536,717
536.4,700
536.8,677
537.2,692
537.6,649
538,665
538.4,669
538.8,661
539.2,667
539.6,624
540,603
540.4,616
540.8,613
541.2,582
541.6,613
542,578
542.4,557
542.8,579
543.2,566
543.6,557
544,546
544.4,556
544.8,557
545.2,545
545.6,564
546,517
546.4,541
546.8,497
547.2,492
547.6,505
548,469
548.4,469
548.8,480
549.2,447
549.6,439
550,4.24E+02
550.4,413
550.8,422
551.2,409
551.6,411
552,427
552.4,425
552.8,424
553.2,416
553.6,391
554,383
554.4,401
554.8,373
555.2,363
555.6,359
556,345
556.4,373
556.8,361
557.2,367
557.6,363
558,353
558.4,349
558.8,314
559.2,345
559.6,366
560,338
560.4,314
560.8,294
561.2,308
561.6,355
562,319
562.4,298
562.8,301
563.2,319
563.6,296
564,297
564.4,306
564.8,275
565.2,281
565.6,271
566,257
566.4,262
566.8,249
567.2,270
567.6,224
568,247
568.4,231
568.8,244
569.2,236
569.6,253
570,208
570.4,197
570.8,191
571.2,167
571.6,176
572,190
572.4,195
572.8,216
573.2,187
573.6,200
574,165
574.4,201
574.8,185
575.2,183
575.6,163
576,182
576.4,169
576.8,186
577.2,181
577.6,164
578,173
578.4,159
578.8,150
579.2,113
579.6,145
580,128
580.4,118
580.8,119
581.2,104
581.6,138
582,109
582.4,127
582.8,128
583.2,122
583.6,136
584,112
584.4,122
584.8,132
585.2,115
585.6,106
586,90
586.4,96
586.8,107
587.2,117
587.6,110
588,120
588.4,143
588.8,120
589.2,75
589.6,138
590,120
590.4,125
590.8,121
591.2,79
591.6,85
592,35
592.4,67
592.8,65
593.2,101
593.6,84
594,56
594.4,56
594.8,49
595.2,33
595.6,38
596,61
596.4,24
596.8,30
597.2,46
597.6,16
598,30
598.4,1
598.8,12
599.2,13
599.6,-1
600,0
600.4,0
600.8,0
601.2,0
601.6,0
602,0
602.4,0
602.8,0
603.2,0
603.6,0
604,0
604.4,0
604.8,0
605.2,0
605.6,0
606,0
606.4,0
606.8,0
607.2,0
607.6,0
608,0
608.4,0
608.8,0
609.2,0
609.6,0
610,0
610.4,0
610.8,0
611.2,0
611.6,0
612,0
612.4,0
612.8,0
613.2,0
613.6,0
614,0
614.4,0
614.8,0
615.2,0
615.6,0
616,0
616.4,0
616.8,0
617.2,0
617.6,0
618,0
618.4,0
618.8,0
619.2,0
619.6,0
620,0
620.4,0
620.8,0
621.2,0
621.6,0
622,0
622.4,0
622.8,0
623.2,0
623.6,0
624,0
624.4,0
624.8,0
625.2,0
625.6,0
626,0
626.4,0
626.8,0
627.2,0
627.6,0
628,0
628.4,0
628.8,0
629.2,0
629.6,0
630,0
630.4,0
630.8,0
631.2,0
631.6,0
632,0
632.4,0
632.8,0
633.2,0
633.6,0
634,0
634.4,0
634.8,0
635.2,0
635.6,0
636,0
636.4,0
636.8,0
637.2,0
637.6,0
638,0
638.4,0
638.8,0
639.2,0
639.6,0
640,0
640.4,0
640.8,0
641.2,0
641.6,0
642,0
642.4,0
642.8,0
643.2,0
643.6,0
644,0
644.4,0
644.8,0
645.2,0
645.6,0
646,0
646.4,0
646.8,0
647.2,0
647.6,0
648,0
648.4,0
648.8,0
649.2,0
649.6,0
650,0
650.4,0
650.8,0
651.2,0
651.6,0
652,0
652.4,0
652.8,0
653.2,0
653.6,0
654,0
654.4,0
654.8,0
655.2,0
655.6,0
656,0
656.4,0
656.8,0
657.2,0
657.6,0
658,0
658.4,0
658.8,0
659.2,0
659.6,0
660,0
660.4,0
660.8,0
661.2,0
661.6,0
662,0
662.4,0
662.8,0
663.2,0
663.6,0
664,0
664.4,0
664.8,0
665.2,0
665.6,0
666,0
666.4,0
666.8,0
667.2,0
667.6,0
668,0
668.4,0
668.8,0
669.2,0
669.6,0
670,0
670.4,0
670.8,0
671.2,0
671.6,0
672,0
672.4,0
672.8,0
673.2,0
673.6,0
674,0
674.4,0
674.8,0
675.2,0
675.6,0
676,0
676.4,0
676.8,0
677.2,0
677.6,0
678,0
678.4,0
678.8,0
679.2,0
679.6,0
680,0
680.4,0
680.8,0
681.2,0
681.6,0
682,0
682.4,0
682.8,0
683.2,0
683.6,0
684,0
684.4,0
684.8,0
685.2,0
685.6,0
686,0
686.4,0
686.8,0
687.2,0
687.6,0
688,0
688.4,0
688.8,0
689.2,0
689.6,0
690,0
690.4,0
690.8,0
691.2,0
691.6,0
692,0
692.4,0
692.8,0
693.2,0
693.6,0
694,0
694.4,0
694.8,0
695.2,0
695.6,0
696,0
696.4,0
696.8,0
697.2,0
697.6,0
698,0
698.4,0
698.8,0
699.2,0
699.6,0
700,0
700.4,0
700.8,0
701.2,0
701.6,0
702,0
702.4,0
702.8,0
703.2,0
703.6,0
704,0
704.4,0
704.8,0
705.2,0
705.6,0
706,0
706.4,0
706.8,0
707.2,0
707.6,0
708,0
708.4,0
708.8,0
709.2,0
709.6,0
710,0
710.4,0
710.8,0
711.2,0
711.6,0
712,0
712.4,0
712.8,0
713.2,0
713.6,0
714,0
714.4,0
714.8,0
715.2,0
715.6,0
716,0
716.4,0
716.8,0
717.2,0
717.6,0
718,0
718.4,0
718.8,0
719.2,0
719.6,0
720,0
720.4,0
720.8,0
721.2,0
721.6,0
722,0
722.4,0
722.8,0
723.2,0
723.6,0
724,0
724.4,0
724.8,0
725.2,0
725.6,0
726,0
726.4,0
726.8,0
727.2,0
727.6,0
728,0
728.4,0
728.8,0
729.2,0
729.6,0
730,0
730.4,0
730.8,0
731.2,0
731.6,0
732,0
732.4,0
732.8,0
733.2,0
733.6,0
734,0
734.4,0
734.8,0
735.2,0
735.6,0
736,0
736.4,0
736.8,0
737.2,0
737.6,0
738,0
738.4,0
738.8,0
739.2,0
739.6,0
740,0
740.4,0
740.8,0
741.2,0
741.6,0
742,0
742.4,0
742.8,0
743.2,0
743.6,0
744,0
744.4,0
744.8,0
745.2,0
745.6,0
746,0
746.4,0
746.8,0
747.2,0
747.6,0
748,0
748.4,0
748.8,0
749.2,0
749.6,0
750,0
