nm,Zea80
350,12222
350.4,11813
350.8,11575
351.2,11619
351.6,11365
352,11331
352.4,11474
352.8,11765
353.2,11627
353.6,11398
354,11276
354.4,11292
354.8,11595
355.2,11740
355.6,11544
356,11423
356.4,11726
356.8,11938
357.2,11664
357.6,11311
358,11380
358.4,11682
358.8,11852
359.2,12046
359.6,11980
360,11663
360.4,11661
360.8,11773
361.2,11991
361.6,12141
362,12490
362.4,12228
362.8,12171
363.2,12165
363.6,12715
364,13116
364.4,13093
364.8,12874
365.2,12946
365.6,13172
366,13180
366.4,13254
366.8,13436
367.2,13550
367.6,13631
368,13884
368.4,14217
368.8,14558
369.2,14793
369.6,14721
370,14667
370.4,14972
370.8,15278
371.2,15423
371.6,15628
372,16010
372.4,16169
372.8,16403
373.2,16633
373.6,16927
374,17113
374.4,17410
374.8,17787
375.2,18022
375.6,18364
376,18631
376.4,18896
376.8,19018
377.2,19342
377.6,19633
378,19912
378.4,20286
378.8,20650
379.2,20940
379.6,21174
380,21461
380.4,21672
380.8,21963
381.2,22167
381.6,22548
382,22939
382.4,23360
382.8,23566
383.2,23961
383.6,24456
384,24900
384.4,25162
384.8,25542
385.2,26024
385.6,26383
386,26606
386.4,26970
386.8,27467
387.2,27930
387.6,28330
388,28752
388.4,29195
388.8,29611
389.2,30036
389.6,30570
390,31132
390.4,31656
390.8,32113
391.2,32604
391.6,33150
392,33724
392.4,34305
392.8,34919
393.2,35580
393.6,36119
394,36630
394.4,37194
394.8,37788
395.2,38364
395.6,38954
396,39599
396.4,40244
396.8,40858
397.2,41514
397.6,42202
398,42902
398.4,43424
398.8,44022
399.2,44578
399.6,45226
400,45810
400.4,46416
400.8,46860
401.2,47397
401.6,47976
402,48606
402.4,49079
402.8,49649
403.2,50267
403.6,50865
404,51359
404.4,51956
404.8,52533
405.2,53070
405.6,53575
406,54156
406.4,54674
406.8,55279
407.2,55799
407.6,56363
408,56819
408.4,57513
408.8,58220
409.2,58974
409.6,59577
410,60230
410.4,60850
410.8,61496
411.2,62115
411.6,62900
412,63689
412.4,64565
412.8,65362
413.2,66304
413.6,67185
414,68133
414.4,68968
414.8,69850
415.2,70738
415.6,71729
416,72655
416.4,73699
416.8,74707
417.2,75681
417.6,76605
418,77667
418.4,78804
418.8,79826
419.2,80861
419.6,81844
420,82948
420.4,83963
420.8,85013
421.2,85985
421.6,86976
422,87877
422.4,88745
422.8,89594
423.2,90490
423.6,91362
424,92233
424.4,93013
424.8,93800
425.2,94557
425.6,95305
426,95920
426.4,96563
426.8,97156
427.2,97777
427.6,98358
428,98878
428.4,99358
428.8,99826
429.2,100305
429.6,100692
430,101123
430.4,101496
430.8,101874
431.2,102295
431.6,102715
432,102970
432.4,103224
432.8,103645
433.2,103971
433.6,104242
434,104596
434.4,105072
434.8,105445
435.2,105851
435.6,106363
436,106839
436.4,107238
436.8,107642
437.2,108148
437.6,108833
438,109522
438.4,110168
438.8,110708
439.2,111553
439.6,112401
440,113244
440.4,113927
440.8,114857
441.2,115741
441.6,116717
442,117598
442.4,118624
442.8,119649
443.2,120782
443.6,121837
444,122915
444.4,124044
444.8,125163
445.2,126351
445.6,127473
446,128565
446.4,129631
446.8,130809
447.2,131896
447.6,132968
448,134051
448.4,135109
448.8,136066
449.2,137052
449.6,138023
450,138874
450.4,139696
450.8,140479
451.2,141201
451.6,141852
452,142471
452.4,142973
452.8,143388
453.2,143818
453.6,144181
454,144411
454.4,144535
454.8,144604
455.2,144667
455.6,144606
456,144475
456.4,144291
456.8,144084
457.2,143716
457.6,143329
458,142925
458.4,142404
458.8,141797
459.2,141131
459.6,140516
460,139751
460.4,139043
460.8,138203
461.2,137441
461.6,136561
462,135743
462.4,134826
462.8,133922
463.2,132968
463.6,132097
464,131210
464.4,130377
464.8,129480
465.2,128685
465.6,127905
466,127088
466.4,126241
466.8,125540
467.2,124901
467.6,124260
468,123698
468.4,123292
468.8,122814
469.2,122366
469.6,121976
470,121754
470.4,121555
470.8,121342
471.2,121108
471.6,121020
472,121095
472.4,121090
472.8,121028
473.2,121083
473.6,121311
474,121581
474.4,121830
474.8,122109
475.2,122394
475.6,122744
476,123096
476.4,123483
476.8,123927
477.2,124400
477.6,124812
478,125170
478.4,125531
478.8,125963
479.2,126326
479.6,126654
480,126938
480.4,127177
480.8,127364
481.2,127527
481.6,127641
482,127675
482.4,127734
482.8,127751
483.2,127639
483.6,127453
484,127172
484.4,126814
484.8,126401
485.2,125954
485.6,125418
486,124787
486.4,124071
486.8,123298
487.2,122491
487.6,121562
488,120520
488.4,119381
488.8,118218
489.2,116942
489.6,115625
490,114275
490.4,112783
490.8,111208
491.2,109682
491.6,108097
492,106359
492.4,104506
492.8,102668
493.2,100827
493.6,98932
494,96985
494.4,94967
494.8,93024
495.2,90974
495.6,88945
496,86860
496.4,84768
496.8,82616
497.2,80481
497.6,78389
498,76340
498.4,74278
498.8,72177
499.2,70072
499.6,67982
500,65939
500.4,63927
500.8,61898
501.2,59892
501.6,57936
502,56014
502.4,54041
502.8,52189
503.2,50407
503.6,48603
504,46769
504.4,45072
504.8,43426
505.2,41831
505.6,40262
506,38758
506.4,37227
506.8,35762
507.2,34310
507.6,32913
508,31567
508.4,30305
508.8,29106
509.2,27960
509.6,26778
510,25674
510.4,24622
510.8,23566
511.2,22448
511.6,21450
512,20514
512.4,19596
512.8,18796
513.2,18043
513.6,17280
514,16498
514.4,15690
514.8,14983
515.2,14341
515.6,13789
516,13136
516.4,12487
516.8,11884
517.2,11400
517.6,10961
518,10501
518.4,10030
518.8,9591
519.2,9159
519.6,8782
520,8422
520.4,8103
520.8,7750
521.2,7471
521.6,7174
522,6922
522.4,6622
522.8,6404
523.2,6127
523.6,5865
524,5633
524.4,5498
524.8,5333
525.2,5051
525.6,4755
526,4618
526.4,4561
526.8,4402
527.2,4138
527.6,3998
528,3877
528.4,3718
528.8,3498
529.2,3419
529.6,3287
530,3147
530.4,3018
530.8,3030
531.2,3004
531.6,2895
532,2701
532.4,2575
532.8,2494
533.2,2470
533.6,2375
534,2337
534.4,2252
534.8,2246
535.2,2147
535.6,2101
536,2009
536.4,1963
536.8,1911
537.2,1811
537.6,1748
538,1707
538.4,1679
538.8,1574
539.2,1557
539.6,1507
540,1466
540.4,1383
540.8,1356
541.2,1294
541.6,1260
542,1280
542.4,1274
542.8,1269
543.2,1234
543.6,1243
544,1170
544.4,1024
544.8,992
545.2,982
545.6,994
546,958
546.4,987
546.8,965
547.2,878
547.6,846
548,874
548.4,903
548.8,857
549.2,789
549.6,763
550,704
550.4,740
550.8,745
551.2,751
551.6,687
552,656
552.4,635
552.8,624
553.2,598
553.6,564
554,577
554.4,564
554.8,561
555.2,561
555.6,558
556,531
556.4,498
556.8,457
557.2,439
557.6,460
558,463
558.4,428
558.8,428
559.2,415
559.6,329
560,310
560.4,387
560.8,483
561.2,413
561.6,377
562,323
562.4,372
562.8,322
563.2,238
563.6,155
564,231
564.4,301
564.8,283
565.2,262
565.6,282
566,289
566.4,230
566.8,217
567.2,187
567.6,174
568,187
568.4,176
568.8,205
569.2,197
569.6,276
570,237
570.4,262
570.8,281
571.2,225
571.6,174
572,187
572.4,251
572.8,190
573.2,172
573.6,202
574,191
574.4,161
574.8,186
575.2,183
575.6,137
576,126
576.4,182
576.8,231
577.2,208
577.6,153
578,131
578.4,136
578.8,207
579.2,207
579.6,173
580,102
580.4,117
580.8,106
581.2,77
581.6,109
582,147
582.4,191
582.8,158
583.2,118
583.6,70
584,138
584.4,141
584.8,137
585.2,126
585.6,114
586,82
586.4,72
586.8,96
587.2,64
587.6,105
588,166
588.4,134
588.8,35
589.2,-15
589.6,63
590,75
590.4,64
590.8,46
591.2,67
591.6,59
592,90
592.4,96
592.8,66
593.2,68
593.6,79
594,88
594.4,64
594.8,75
595.2,79
595.6,105
596,51
596.4,10
596.8,6
597.2,72
597.6,33
598,86
598.4,94
598.8,77
599.2,26
599.6,39
600,0
600.4,0
600.8,0
601.2,0
601.6,0
602,0
602.4,0
602.8,0
603.2,0
