nm,lineA1,lineA2,LineB1,LineB2,LineC1,LineC2
350,0.10118,0.10713,0.12569,0.11984,0.14969,0.14337
350.5,0.10451,0.10587,0.12776,0.12366,0.1525,0.14153
351,0.10425,0.10988,0.12357,0.12117,0.15469,0.14813
351.5,0.10414,0.10927,0.13036,0.12102,0.15715,0.14915
352,0.10555,0.10983,0.13409,0.12527,0.15652,0.14798
352.5,0.10722,0.11481,0.12935,0.12762,0.15762,0.15077
353,0.10411,0.1125,0.13263,0.12592,0.15628,0.14949
353.5,0.10428,0.11328,0.13162,0.12766,0.15778,0.15315
354,0.10506,0.11192,0.13017,0.12604,0.15877,0.1506
354.5,0.10649,0.10892,0.13332,0.12379,0.15846,0.15044
355,0.10158,0.11125,0.12794,0.12602,0.15726,0.14893
355.5,0.10585,0.11243,0.13303,0.12689,0.16125,0.15147
356,0.10988,0.11349,0.13042,0.12906,0.16165,0.15723
356.5,0.10712,0.11661,0.13286,0.13187,0.16222,0.15326
357,0.10721,0.11694,0.13753,0.13344,0.16876,0.16095
357.5,0.11369,0.1201,0.13861,0.13478,0.17053,0.16121
358,0.11198,0.1176,0.14241,0.13715,0.17209,0.15991
358.5,0.11803,0.12115,0.14168,0.1362,0.1716,0.1615
359,0.11482,0.12418,0.14067,0.13782,0.17233,0.1609
359.5,0.11301,0.12216,0.13995,0.13412,0.1712,0.16113
360,0.1145,0.1185,0.13979,0.13835,0.174,0.16197
360.5,0.11526,0.12099,0.1441,0.13614,0.17386,0.16415
361,0.11449,0.12708,0.14587,0.14178,0.17935,0.16922
361.5,0.11989,0.12793,0.1474,0.14417,0.18254,0.16983
362,0.12,0.1275,0.151,0.14285,0.18407,0.17097
362.5,0.12389,0.1291,0.14931,0.14607,0.18259,0.17546
363,0.1207,0.1302,0.15259,0.14958,0.18513,0.17746
363.5,0.12462,0.13321,0.14755,0.15001,0.18411,0.17432
364,0.12314,0.13248,0.15381,0.14499,0.18529,0.17555
364.5,0.12123,0.12965,0.15291,0.14661,0.18976,0.17354
365,0.12991,0.13451,0.15675,0.1505,0.18985,0.18184
365.5,0.12679,0.13286,0.15604,0.15462,0.1895,0.18295
366,0.12709,0.13695,0.164,0.15514,0.19582,0.18521
366.5,0.12871,0.13887,0.16098,0.15785,0.1945,0.18814
367,0.1315,0.14146,0.16356,0.15952,0.20157,0.1927
367.5,0.13553,0.1461,0.16829,0.16559,0.20058,0.18787
368,0.13593,0.14832,0.17114,0.16695,0.2065,0.19737
368.5,0.1414,0.14758,0.17505,0.16632,0.20862,0.1971
369,0.13736,0.14885,0.17332,0.16707,0.21126,0.20273
369.5,0.14034,0.14742,0.17213,0.17308,0.21028,0.20338
370,0.14078,0.14996,0.17461,0.1713,0.2101,0.20271
370.5,0.14436,0.15218,0.18027,0.17056,0.21577,0.20358
371,0.14313,0.15196,0.1813,0.17093,0.21486,0.207
371.5,0.14464,0.1566,0.18202,0.17834,0.21617,0.20525
372,0.14661,0.15247,0.18311,0.17749,0.21957,0.20982
372.5,0.14767,0.15878,0.18564,0.17648,0.22475,0.21001
373,0.14798,0.15752,0.18655,0.17975,0.22208,0.21094
373.5,0.14696,0.15851,0.18607,0.18069,0.22575,0.21263
374,0.15111,0.15961,0.18483,0.18028,0.2272,0.21523
374.5,0.14958,0.15955,0.19026,0.18196,0.22772,0.21384
375,0.15164,0.16333,0.19148,0.18307,0.22975,0.21759
375.5,0.15158,0.16171,0.19232,0.18906,0.22971,0.21916
376,0.15453,0.16631,0.196,0.1889,0.23386,0.22379
376.5,0.15793,0.16632,0.19659,0.18922,0.23332,0.22215
377,0.15813,0.16493,0.19713,0.19031,0.23657,0.22282
377.5,0.15723,0.16701,0.19724,0.19044,0.23792,0.22675
378,0.15721,0.16795,0.19899,0.19206,0.23811,0.22615
378.5,0.15923,0.16765,0.19978,0.19611,0.24014,0.22502
379,0.16145,0.16977,0.20253,0.19832,0.24396,0.23145
379.5,0.16374,0.17125,0.20038,0.19423,0.24214,0.23123
380,0.16109,0.17058,0.2014,0.19432,0.24458,0.23082
380.5,0.16161,0.17189,0.20247,0.19412,0.2415,0.22916
381,0.15816,0.17061,0.20148,0.19391,0.24486,0.22775
381.5,0.16026,0.17108,0.20139,0.19534,0.24518,0.22981
382,0.16347,0.17261,0.20335,0.19839,0.24519,0.2301
382.5,0.16386,0.17232,0.20488,0.19835,0.24603,0.23454
383,0.15939,0.17206,0.20442,0.19722,0.24626,0.23392
383.5,0.16127,0.17188,0.20262,0.19527,0.24492,0.23236
384,0.15871,0.16989,0.20229,0.1947,0.24231,0.23155
384.5,0.16289,0.17114,0.2049,0.19736,0.2459,0.23253
385,0.1617,0.17021,0.20515,0.19656,0.24483,0.23283
385.5,0.16273,0.16901,0.20158,0.19742,0.24367,0.23373
386,0.16182,0.17255,0.20676,0.19701,0.24687,0.23465
