nm,Blank,Sample A,Sample B,Sample C,Sample D,Sample E,Sample F,Sample G,Sample H,Sample I,Sample J,Sample K,Sample L,Sample M
350,-2.64E-04,5.79E-02,6.05E-02,7.26E-02,1.06E-01,1.01E-01,1.05E-01,6.10E-02,6.81E-02,7.28E-02,1.10E-01,1.13E-01,1.09E-01,2.64E-02
350.4,-6.12E-04,5.81E-02,6.08E-02,7.31E-02,1.06E-01,1.01E-01,1.05E-01,6.11E-02,6.88E-02,7.33E-02,1.10E-01,1.14E-01,1.10E-01,2.67E-02
350.8,-4.77E-04,5.82E-02,6.10E-02,7.33E-02,1.06E-01,1.02E-01,1.05E-01,6.12E-02,6.90E-02,7.33E-02,1.11E-01,1.14E-01,1.10E-01,2.64E-02
351.2,-8.45E-05,5.83E-02,6.10E-02,7.31E-02,1.06E-01,1.02E-01,1.05E-01,6.12E-02,6.89E-02,7.32E-02,1.10E-01,1.14E-01,1.10E-01,2.64E-02
351.6,-7.10E-05,5.84E-02,6.11E-02,7.34E-02,1.07E-01,1.02E-01,1.06E-01,6.17E-02,6.90E-02,7.37E-02,1.11E-01,1.14E-01,1.11E-01,2.64E-02
352,-1.76E-04,5.89E-02,6.15E-02,7.37E-02,1.07E-01,1.03E-01,1.07E-01,6.20E-02,6.96E-02,7.43E-02,1.12E-01,1.15E-01,1.11E-01,2.65E-02
352.4,6.76E-05,5.90E-02,6.14E-02,7.38E-02,1.08E-01,1.03E-01,1.07E-01,6.21E-02,6.97E-02,7.44E-02,1.12E-01,1.15E-01,1.11E-01,2.64E-02
352.8,1.45E-04,5.92E-02,6.16E-02,7.41E-02,1.08E-01,1.04E-01,1.07E-01,6.22E-02,6.99E-02,7.45E-02,1.12E-01,1.15E-01,1.12E-01,2.67E-02
353.2,2.47E-04,5.93E-02,6.23E-02,7.44E-02,1.08E-01,1.04E-01,1.08E-01,6.26E-02,7.01E-02,7.44E-02,1.13E-01,1.16E-01,1.12E-01,2.67E-02
353.6,4.50E-04,5.95E-02,6.26E-02,7.44E-02,1.09E-01,1.05E-01,1.08E-01,6.29E-02,7.04E-02,7.48E-02,1.13E-01,1.16E-01,1.13E-01,2.71E-02
354,3.18E-04,6.01E-02,6.30E-02,7.55E-02,1.09E-01,1.05E-01,1.09E-01,6.33E-02,7.08E-02,7.56E-02,1.14E-01,1.17E-01,1.13E-01,2.75E-02
354.4,3.25E-04,6.07E-02,6.34E-02,7.59E-02,1.10E-01,1.06E-01,1.09E-01,6.36E-02,7.17E-02,7.59E-02,1.15E-01,1.18E-01,1.14E-01,2.71E-02
354.8,4.16E-04,6.09E-02,6.37E-02,7.63E-02,1.11E-01,1.07E-01,1.10E-01,6.37E-02,7.22E-02,7.62E-02,1.16E-01,1.18E-01,1.15E-01,2.71E-02
355.2,1.59E-04,6.16E-02,6.44E-02,7.68E-02,1.13E-01,1.07E-01,1.11E-01,6.44E-02,7.30E-02,7.68E-02,1.17E-01,1.20E-01,1.16E-01,2.75E-02
355.6,1.86E-04,6.20E-02,6.49E-02,7.73E-02,1.13E-01,1.08E-01,1.12E-01,6.47E-02,7.33E-02,7.74E-02,1.17E-01,1.20E-01,1.16E-01,2.79E-02
356,4.20E-04,6.23E-02,6.50E-02,7.76E-02,1.13E-01,1.08E-01,1.13E-01,6.53E-02,7.31E-02,7.77E-02,1.18E-01,1.21E-01,1.17E-01,2.77E-02
356.4,3.72E-04,6.27E-02,6.55E-02,7.85E-02,1.14E-01,1.09E-01,1.13E-01,6.60E-02,7.39E-02,7.82E-02,1.18E-01,1.22E-01,1.18E-01,2.79E-02
356.8,4.26E-04,6.32E-02,6.59E-02,7.90E-02,1.14E-01,1.10E-01,1.14E-01,6.64E-02,7.46E-02,7.88E-02,1.19E-01,1.23E-01,1.19E-01,2.83E-02
357.2,4.13E-04,6.37E-02,6.65E-02,7.95E-02,1.15E-01,1.11E-01,1.14E-01,6.65E-02,7.51E-02,7.92E-02,1.20E-01,1.23E-01,1.19E-01,2.85E-02
357.6,5.45E-04,6.38E-02,6.69E-02,8.03E-02,1.16E-01,1.11E-01,1.15E-01,6.68E-02,7.56E-02,8.00E-02,1.21E-01,1.24E-01,1.20E-01,2.87E-02
358,9.72E-04,6.42E-02,6.71E-02,8.01E-02,1.16E-01,1.12E-01,1.16E-01,6.68E-02,7.57E-02,7.99E-02,1.21E-01,1.25E-01,1.20E-01,2.85E-02
358.4,7.14E-04,6.50E-02,6.77E-02,8.08E-02,1.17E-01,1.13E-01,1.17E-01,6.74E-02,7.64E-02,8.05E-02,1.22E-01,1.26E-01,1.22E-01,2.88E-02
358.8,9.28E-04,6.52E-02,6.83E-02,8.15E-02,1.18E-01,1.13E-01,1.18E-01,6.76E-02,7.67E-02,8.10E-02,1.23E-01,1.26E-01,1.22E-01,2.89E-02
359.2,1.19E-03,6.53E-02,6.86E-02,8.20E-02,1.18E-01,1.14E-01,1.18E-01,6.79E-02,7.71E-02,8.16E-02,1.24E-01,1.27E-01,1.23E-01,2.89E-02
359.6,8.50E-04,6.58E-02,6.95E-02,8.28E-02,1.19E-01,1.15E-01,1.19E-01,6.85E-02,7.82E-02,8.26E-02,1.25E-01,1.28E-01,1.24E-01,2.94E-02
360,9.82E-04,6.65E-02,6.98E-02,8.31E-02,1.20E-01,1.16E-01,1.20E-01,6.88E-02,7.88E-02,8.29E-02,1.25E-01,1.29E-01,1.25E-01,2.95E-02
360.4,1.22E-03,6.71E-02,7.04E-02,8.35E-02,1.21E-01,1.17E-01,1.20E-01,6.93E-02,7.92E-02,8.33E-02,1.26E-01,1.29E-01,1.26E-01,2.95E-02
360.8,1.32E-03,6.76E-02,7.09E-02,8.39E-02,1.22E-01,1.17E-01,1.21E-01,6.97E-02,7.95E-02,8.38E-02,1.27E-01,1.30E-01,1.27E-01,2.95E-02
361.2,1.19E-03,6.81E-02,7.13E-02,8.50E-02,1.23E-01,1.19E-01,1.22E-01,7.03E-02,8.03E-02,8.47E-02,1.28E-01,1.31E-01,1.28E-01,2.99E-02
361.6,1.19E-03,6.87E-02,7.18E-02,8.56E-02,1.24E-01,1.19E-01,1.23E-01,7.09E-02,8.09E-02,8.52E-02,1.29E-01,1.32E-01,1.29E-01,3.00E-02
362,1.42E-03,6.93E-02,7.21E-02,8.60E-02,1.24E-01,1.20E-01,1.24E-01,7.12E-02,8.14E-02,8.55E-02,1.30E-01,1.33E-01,1.29E-01,3.02E-02
362.4,1.48E-03,6.97E-02,7.25E-02,8.65E-02,1.25E-01,1.21E-01,1.25E-01,7.16E-02,8.19E-02,8.64E-02,1.31E-01,1.34E-01,1.30E-01,3.05E-02
362.8,1.61E-03,7.01E-02,7.31E-02,8.70E-02,1.26E-01,1.22E-01,1.26E-01,7.19E-02,8.24E-02,8.70E-02,1.32E-01,1.35E-01,1.31E-01,3.07E-02
363.2,1.63E-03,7.08E-02,7.38E-02,8.80E-02,1.27E-01,1.22E-01,1.27E-01,7.24E-02,8.31E-02,8.77E-02,1.33E-01,1.36E-01,1.31E-01,3.08E-02
363.6,1.67E-03,7.15E-02,7.44E-02,8.88E-02,1.28E-01,1.24E-01,1.28E-01,7.32E-02,8.39E-02,8.83E-02,1.34E-01,1.37E-01,1.33E-01,3.06E-02
364,1.61E-03,7.21E-02,7.51E-02,8.94E-02,1.29E-01,1.25E-01,1.29E-01,7.40E-02,8.47E-02,8.88E-02,1.35E-01,1.38E-01,1.34E-01,3.08E-02
364.4,1.96E-03,7.22E-02,7.54E-02,8.96E-02,1.30E-01,1.25E-01,1.30E-01,7.42E-02,8.53E-02,8.93E-02,1.36E-01,1.39E-01,1.35E-01,3.09E-02
364.8,2.22E-03,7.26E-02,7.60E-02,9.00E-02,1.31E-01,1.26E-01,1.31E-01,7.47E-02,8.59E-02,9.00E-02,1.36E-01,1.40E-01,1.36E-01,3.08E-02
365.2,2.44E-03,7.32E-02,7.66E-02,9.07E-02,1.32E-01,1.27E-01,1.31E-01,7.51E-02,8.63E-02,9.05E-02,1.37E-01,1.41E-01,1.37E-01,3.09E-02
365.6,2.47E-03,7.37E-02,7.75E-02,9.16E-02,1.33E-01,1.28E-01,1.32E-01,7.57E-02,8.70E-02,9.11E-02,1.39E-01,1.43E-01,1.38E-01,3.12E-02
366,2.36E-03,7.47E-02,7.83E-02,9.24E-02,1.34E-01,1.29E-01,1.34E-01,7.66E-02,8.84E-02,9.19E-02,1.40E-01,1.44E-01,1.39E-01,3.16E-02
366.4,2.30E-03,7.56E-02,7.91E-02,9.36E-02,1.35E-01,1.31E-01,1.35E-01,7.74E-02,8.99E-02,9.28E-02,1.41E-01,1.46E-01,1.40E-01,3.21E-02
366.8,2.32E-03,7.63E-02,8.00E-02,9.45E-02,1.37E-01,1.32E-01,1.36E-01,7.78E-02,9.13E-02,9.38E-02,1.43E-01,1.47E-01,1.41E-01,3.23E-02
367.2,2.59E-03,7.68E-02,8.10E-02,9.47E-02,1.38E-01,1.33E-01,1.37E-01,7.81E-02,9.22E-02,9.44E-02,1.44E-01,1.49E-01,1.42E-01,3.23E-02
367.6,2.51E-03,7.76E-02,8.21E-02,9.57E-02,1.39E-01,1.34E-01,1.38E-01,7.90E-02,9.37E-02,9.55E-02,1.45E-01,1.50E-01,1.44E-01,3.27E-02
368,2.59E-03,7.82E-02,8.31E-02,9.65E-02,1.40E-01,1.35E-01,1.39E-01,7.98E-02,9.53E-02,9.65E-02,1.46E-01,1.52E-01,1.45E-01,3.30E-02
368.4,2.57E-03,7.91E-02,8.42E-02,9.72E-02,1.42E-01,1.36E-01,1.41E-01,8.05E-02,9.67E-02,9.74E-02,1.48E-01,1.53E-01,1.46E-01,3.33E-02
368.8,2.80E-03,7.99E-02,8.50E-02,9.81E-02,1.43E-01,1.37E-01,1.42E-01,8.09E-02,9.78E-02,9.79E-02,1.49E-01,1.54E-01,1.48E-01,3.34E-02
369.2,3.05E-03,8.04E-02,8.58E-02,9.89E-02,1.44E-01,1.38E-01,1.43E-01,8.16E-02,9.89E-02,9.86E-02,1.50E-01,1.55E-01,1.48E-01,3.37E-02
369.6,3.05E-03,8.10E-02,8.68E-02,9.97E-02,1.45E-01,1.40E-01,1.44E-01,8.23E-02,9.97E-02,9.94E-02,1.51E-01,1.56E-01,1.50E-01,3.40E-02
370,3.11E-03,8.16E-02,8.79E-02,1.01E-01,1.46E-01,1.41E-01,1.45E-01,8.31E-02,1.01E-01,1.00E-01,1.52E-01,1.58E-01,1.51E-01,3.43E-02
370.4,3.30E-03,8.23E-02,8.85E-02,1.01E-01,1.47E-01,1.42E-01,1.47E-01,8.35E-02,1.01E-01,1.01E-01,1.54E-01,1.59E-01,1.52E-01,3.44E-02
370.8,3.30E-03,8.33E-02,8.93E-02,1.02E-01,1.49E-01,1.43E-01,1.48E-01,8.46E-02,1.02E-01,1.02E-01,1.55E-01,1.60E-01,1.53E-01,3.46E-02
