nm;bby70;bby72;bby74;bby76;bby78;bby80;bby82;bby84;bby86;bby88;bby90;LHCII;PSII core;PSI maize;C2S2M2;GoodFig2A;OffSetFig2B;ScatFig2C;DegrFig2D;a/b_9_F5;
350;0.55391;0.552005;0.550565;0.54664;0.546495;0.54228;0.54093;0.537015;0.533255;0.53655;0.52911;0.576349899;0.425781967;0.411521262;0.51869438;0.474623333;0.494623333;0.596592426;0.477713875;0.381197101;
350.4;0.55412;0.55052;0.549965;0.54807;0.54586;0.543055;0.54105;0.536845;0.53574;0.53677;0.530525;0.576550817;0.427281631;0.411730436;0.520485737;0.476386667;0.496386667;0.598084818;0.479029052;0.382382657;
350.8;0.555755;0.55289;0.552035;0.548285;0.546785;0.54416;0.542265;0.53953;0.535185;0.53817;0.531295;0.580261141;0.429852482;0.413017706;0.52284105;0.476353333;0.496353333;0.59778116;0.483461363;0.381408539;
351.2;0.55626;0.55468;0.55276;0.549375;0.549415;0.546205;0.543215;0.54015;0.538125;0.540045;0.534365;0.580125544;0.432025464;0.414725664;0.525541075;0.477793333;0.497793333;0.598951452;0.483553531;0.387499555;
351.6;0.558395;0.553975;0.55365;0.550175;0.550175;0.546675;0.544215;0.54288;0.53866;0.541485;0.5332;0.583533331;0.434504499;0.416650332;0.528566627;0.47923;0.49923;0.600119024;0.485158207;0.387324843;
352;0.558885;0.55668;0.55619;0.553565;0.55301;0.54922;0.54687;0.54307;0.54176;0.5438;0.53627;0.585644962;0.43741201;0.419376991;0.53181954;0.480056667;0.500056667;0.600677207;0.487022645;0.387879523;
352.4;0.560485;0.55808;0.558305;0.555425;0.553685;0.550835;0.548855;0.5464;0.544195;0.545645;0.53931;0.587731648;0.439860439;0.421922865;0.535257706;0.48272;0.50272;0.603072667;0.487917729;0.391998713;
352.8;0.563795;0.560585;0.56086;0.558945;0.556065;0.553245;0.55186;0.549135;0.54677;0.54836;0.543085;0.590698862;0.442431291;0.424526118;0.537822041;0.484503333;0.504503333;0.604588734;0.49265411;0.393266546;
353.2;0.564745;0.560765;0.56125;0.55832;0.557205;0.554235;0.55235;0.55023;0.547395;0.54952;0.54419;0.593639904;0.445920304;0.427055071;0.541334682;0.486533333;0.506533333;0.606352073;0.494387242;0.396911699;
353.6;0.56671;0.56386;0.563885;0.561405;0.559975;0.55765;0.55568;0.55304;0.55048;0.55272;0.545885;0.596100287;0.448399339;0.429694893;0.544007336;0.489853333;0.509853333;0.609406015;0.49468296;0.400166531;
354;0.56875;0.565975;0.565865;0.563405;0.561855;0.56038;0.55832;0.555255;0.553485;0.55528;0.550415;0.600159972;0.451735325;0.432352586;0.547163672;0.490993333;0.510993333;0.610280559;0.499643739;0.402228335;
354.4;0.570955;0.568705;0.568495;0.56605;0.56548;0.56192;0.560475;0.55815;0.55707;0.558645;0.55195;0.603257104;0.454857073;0.435122651;0.55094419;0.494473333;0.514473333;0.613495702;0.50167868;0.407784963;
354.8;0.575445;0.57303;0.57289;0.57032;0.56964;0.56699;0.56544;0.56284;0.55964;0.563395;0.557005;0.607919109;0.458162453;0.438404797;0.555402598;0.49716;0.51716;0.615918109;0.505395322;0.410684551;
355.2;0.576995;0.574185;0.57535;0.57259;0.571045;0.56842;0.566885;0.564625;0.56301;0.56511;0.559065;0.611885136;0.461498439;0.441728961;0.55866621;0.50006;0.52006;0.618554444;0.510755194;0.413179908;
355.6;0.580545;0.578345;0.57854;0.576115;0.573905;0.571965;0.57063;0.56856;0.56643;0.56902;0.563415;0.615545417;0.464558977;0.445019527;0.561640692;0.501703333;0.521703333;0.619934706;0.512385829;0.416445469;
356;0.5843;0.58167;0.581615;0.57846;0.57782;0.575475;0.574745;0.571465;0.570615;0.57194;0.56533;0.6189939;0.468139805;0.448318393;0.565456203;0.504896667;0.524896667;0.622865559;0.517712452;0.417696149;
356.4;0.587675;0.584785;0.58457;0.5829;0.58161;0.57919;0.57713;0.57532;0.573315;0.57634;0.569625;0.624139477;0.471628818;0.451642042;0.568539365;0.507716667;0.527716667;0.625423668;0.519729704;0.421266543;
356.8;0.59013;0.587815;0.587615;0.58542;0.58542;0.581625;0.580775;0.57886;0.57669;0.579475;0.57285;0.628844633;0.475760544;0.455120853;0.572791196;0.511036667;0.531036667;0.628482364;0.524432229;0.424463649;
357.2;0.593425;0.59192;0.590725;0.588875;0.58759;0.585375;0.58419;0.58274;0.5805;0.58306;0.576325;0.632453186;0.479371978;0.458575057;0.576429082;0.513106667;0.533106667;0.630291645;0.527169379;0.429891765;
357.6;0.596525;0.59411;0.593725;0.59241;0.59113;0.588015;0.58737;0.585095;0.58348;0.585625;0.579395;0.636589842;0.483534309;0.462082093;0.58011173;0.516266667;0.536266667;0.633191509;0.530405396;0.43120037;
358;0.6;0.59731;0.597965;0.59645;0.594685;0.59133;0.58989;0.588825;0.58672;0.58865;0.5832;0.640466959;0.486594846;0.465412048;0.583928991;0.51995;0.53995;0.636615289;0.533408298;0.434194159;
358.4;0.602775;0.60202;0.601285;0.5983;0.59848;0.59474;0.593875;0.592135;0.591265;0.592735;0.587145;0.644361368;0.490145069;0.468990725;0.587544418;0.52323;0.54323;0.639636314;0.536710482;0.438992523;
